,Date,Cases,Deaths,Recovered,Travel_history,Province,City
688,4/14/2020,8,0,0,Local - Social Contact,Punjab,Sheikhupura
689,4/14/2020,1,0,0,Local - Social Contact,Punjab,Pakpatan
690,4/14/2020,14,0,0,Local - Social Contact,Punjab,Bhakhar
691,4/14/2020,10,0,0,Tableeghi Jamaat,Punjab,Raiwind
692,4/15/2020,9,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
693,4/15/2020,3,0,0,Unknown,Azad Jummu Kashmir,Muzaffarabad
694,4/15/2020,0,0,19,Local - Social Contact,Gilgit-Baltistan,Skardu
695,4/15/2020,3,0,0,Local - Social Contact,Gilgit-Baltistan,Diamer
696,4/15/2020,2,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar
697,4/15/2020,6,0,2,Local - Social Contact,Gilgit-Baltistan,Astore
698,4/15/2020,0,0,1,Local - Social Contact,Gilgit-Baltistan,Nagar
699,4/15/2020,33,1,13,Unknown,Baluchistan,Quetta
700,4/15/2020,1,0,0,Local - Social Contact,Sindh,Larkana
701,4/15/2020,7,0,0,Local - Social Contact,Sindh,Naushero Feroz
702,4/15/2020,28,0,0,Local - Social Contact,Sindh,Shaheed Benazirabad
703,4/15/2020,20,0,104,Tableeghi Jamaat,Sindh,Hyderabad
704,4/15/2020,94,5,27,Local - Social Contact,Sindh,Karachi
705,4/15/2020,0,1,0,Iran/Taftan,Sindh,Sukkur
706,4/15/2020,38,4,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
707,4/15/2020,0,0,3,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
708,4/15/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
709,4/15/2020,7,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
710,4/15/2020,1,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
711,4/15/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
712,4/15/2020,1,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Swat
713,4/15/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
714,4/15/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
715,4/15/2020,0,0,1,Local - Social Contact,Federal Administration Tribal Area,Khyber
716,4/15/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
717,4/15/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
718,4/15/2020,20,0,0,Local - Social Contact,Punjab,Rawalpindi
719,4/15/2020,10,0,0,Local - Social Contact,Punjab,Gujranwala
720,4/15/2020,0,0,28,Local - Social Contact,Punjab,Lahore
721,4/15/2020,0,0,1,Local - Social Contact,Punjab,Chakwal
722,4/15/2020,24,0,0,Local - Social Contact,Punjab,Lahore
723,4/15/2020,3,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
